texmf-dist/tex/latex/exam-zh/exam-zh.cls:136:45:136:45: e209 invalid characters
texmf-dist/tex/latex/exam-zh/exam-zh.cls:152:28:152:28: e209 invalid characters
texmf-dist/tex/latex/exam-zh/exam-zh.cls:153:32:153:32: e209 invalid characters
texmf-dist/tex/latex/exam-zh/exam-zh.cls:177:48:177:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:207:1:207:84: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:220:1:220:103: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:237:33:237:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:237:52:237:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:237:53:237:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:241:22:241:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:249:26:249:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:274:15:274:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:274:16:274:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:274:19:274:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:278:15:278:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:278:16:278:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:278:19:278:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:280:5:280:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:322:1:322:88: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:332:20:332:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:340:24:340:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:342:30:342:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:346:21:346:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:346:22:346:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:346:65:346:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:346:66:346:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:349:56:349:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:349:57:349:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:349:58:349:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:351:24:351:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:351:55:351:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:352:24:352:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:352:49:352:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:354:23:354:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:355:22:355:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:359:24:359:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:363:19:363:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:366:28:366:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:367:37:367:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:368:35:368:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:373:25:373:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:374:34:374:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:377:25:377:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:395:34:395:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:536:10:536:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:536:15:536:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:548:20:548:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:548:37:548:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:560:20:560:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:560:35:560:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:571:20:571:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:571:36:571:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:574:10:574:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:574:16:574:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:574:17:574:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:574:18:574:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:574:27:574:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:574:28:574:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:574:29:574:29: s204 missing stylistic whitespaces
