texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:171:1:171:81: s103 line too long
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:187:24:187:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:205:26:205:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:219:35:219:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:219:37:219:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:219:64:219:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:220:34:220:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:220:36:220:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:220:37:220:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:220:38:220:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:221:29:221:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:221:47:221:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:221:48:221:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:221:66:221:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:221:67:221:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:223:36:223:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:223:38:223:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:223:39:223:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:223:40:223:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:224:29:224:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:224:47:224:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:224:48:224:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:224:66:224:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:224:67:224:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:226:37:226:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:226:39:226:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:226:68:226:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:227:36:227:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:227:37:227:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:227:38:227:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:227:39:227:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:228:31:228:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:228:49:228:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:228:50:228:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:230:38:230:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:230:40:230:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:230:41:230:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:230:42:230:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:231:31:231:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:231:49:231:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:231:50:231:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:294:23:294:43: s205 malformed function name
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:294:44:294:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:297:61:297:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:307:23:307:43: s205 malformed function name
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:307:44:307:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook-3.34.sty:310:61:310:61: s204 missing stylistic whitespaces
