texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:179:1:179:81: s103 line too long
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:195:24:195:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:213:26:213:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:227:35:227:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:227:37:227:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:227:64:227:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:228:34:228:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:228:36:228:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:228:37:228:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:228:38:228:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:229:29:229:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:229:47:229:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:229:48:229:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:229:66:229:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:229:67:229:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:231:36:231:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:231:38:231:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:231:39:231:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:231:40:231:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:232:29:232:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:232:47:232:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:232:48:232:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:232:66:232:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:232:67:232:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:234:37:234:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:234:39:234:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:234:68:234:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:235:36:235:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:235:37:235:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:235:38:235:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:235:39:235:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:236:31:236:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:236:49:236:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:236:50:236:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:238:38:238:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:238:40:238:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:238:41:238:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:238:42:238:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:239:31:239:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:239:49:239:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:239:50:239:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:302:23:302:43: s205 malformed function name
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:302:44:302:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:305:61:305:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:315:23:315:43: s205 malformed function name
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:315:44:315:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/koma-script/scrlfile-hook.sty:318:61:318:61: s204 missing stylistic whitespaces
