texmf-dist/tex/latex/nicetext/fifinddo.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/nicetext/fifinddo.sty:8:18:8:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:8:22:8:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:8:38:8:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:8:48:8:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:26:17:26:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:26:24:26:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:26:25:26:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:28:18:28:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:28:26:28:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:28:27:28:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:33:17:33:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:33:25:33:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:36:17:36:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:36:25:36:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:46:13:46:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:46:30:46:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:47:13:47:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:47:31:47:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:48:13:48:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:48:33:48:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:49:13:49:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:49:28:49:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:63:13:63:13: s204 missing stylistic whitespaces
