texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:20:7:20:22: e201 unknown argument specifiers
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:4:17:4:17: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:4:39:4:39: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:6:15:6:33: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:6:38:6:38: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:7:21:7:21: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:7:31:7:31: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:7:32:7:32: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:7:51:7:51: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:11:9:11:36: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:11:37:11:37: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:11:38:11:38: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:13:27:13:48: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:14:27:14:42: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:15:28:15:44: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:17:26:17:26: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:17:40:17:40: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:19:37:19:37: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:19:38:19:64: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:20:43:20:43: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:20:44:20:70: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:20:71:20:71: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:22:26:22:26: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:22:40:22:40: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:23:46:23:46: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:27:40:27:40: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:28:42:28:42: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:28:45:28:45: s204 missing stylistic whitespaces
